"held","common","latin","hue","visual","water","aspect","soil","prune","source","peak","order","bench","root","trade","retail","margin","type","shrink","returnRisk","pots","cvs","hardiness","resilience","uses","size","pest","seasonalImpact","growthSpeed","pestRisk","thirst","careLevel","sunNeed","sunMin","toxicity","compliance","hardinessNote","foliage","rootSize","stockForm","pollination","clay"
"0","Spider's Web Japanese Aralia","Fatsia japonica 'Tsumugi-shibori'","120","Big glossy palmate leaves frosted creamy-white; drumstick flowers in autumn","","East / South","Moist but well-drained; Shelter from cold drying winds; avoid waterlogging","","","Oct-Nov","","","","","","","","","","","sold as Spider's Web (English selling name)","H5","Ornamental fruits not for eating; some light keeps the white frosting bold","","1.5–2.5 m H × 1.5–2.5 m W","","","6","10","12","10","30","5","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","New Zealand Broadleaf","Griselinia littoralis","95","Dense evergreen screen of glossy apple-green oval leaves on fresh green stems","","South / West","Fertile, well-drained; Avoid waterlogging and frost pockets; shelter inland","","","Apr-May","","","","","","","","","","","'Variegata' — cream-edged · 'Bantry Bay' — gold splashed","H5","Superb salt- and wind-tolerant coastal hedge","","4–8 m H × 2.5–4 m W","","","15","4","10","6","88","58","","","Hardy through a cold UK winter, withstanding -15 to -10C.","evergreen","","","",""
"0","Himalayan Indigo 'Silk Road'","Indigofera himalayensis 'Silk Road'","330","Airy pinnate foliage · upright lilac-pink spikes · bronze autumn tones","Moderate; water in dry spells","East / South / West","Fertile, well-drained; No winter wet · shelter from cold","Prune after flowering or hard in spring","","Jun-Aug","","","","","","","","","","","","H5","coastal · recovers after frost dieback","borders · wall training · containers · pollinators","1–1.5 m H × 0.5–1 m W","","","10","3","9","6","92","80","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Cascading Moth Orchid","Phalaenopsis Hybrid Group","320","Arching cascade of long-lived moth-like blooms above broad leathery leaves","Water when roots turn silver","East / West","Free-draining orchid bark; No standing water · keep above 15°C","Cut spent spike above a node","","Jan-Dec","","","","","","","","","","","Pulsatio appears to be a supplier brand","H1b","long-lasting flowers · indoor adaptable","houseplant · gifting · bright rooms","45–60 cm H × 20–30 cm W","","","6","8","8","9","45","25","","","Subtropical: needs a heated glasshouse at 10-15C and cannot tolerate frost.","","","","",""
"0","Laurustinus 'Eve Price'","Viburnum tinus 'Eve Price'","330","Deep pink buds open white over glossy evergreen leaves · metallic-blue berries","Moderate; water in dry spells","Any aspect","Humus-rich, well-drained; Shelter from cold winds · fruit not edible","Trim after flowering","","Dec-Apr","","","","","","","","","","","","H4","coastal · urban tolerant","hedging · screening · wildlife","1.5–2.5 m H × 1.5–2.5 m W","","","9","9","8","5","70","30","","","Hardy through an average UK winter, withstanding -10 to -5C.","evergreen","","","",""
"0","Orange Victory Itoh Peony","Paeonia 'Orange Victory'","30","Apricot-orange semi-double blooms · red flares · yellow centres · sturdy stems","Moderate; water in dry spells","East / South / West","Rich, well-drained; Plant shallow · no winter wet · irritant","Cut dead stems in autumn","","May-Jun","","","","","","","","","","","Itoh intersectional hybrid; introduced 2001","H6","sturdy stems · long-lived · cold hardy","mixed borders · cut flowers · containers","80–90 cm H × 80–90 cm W","","","5","6","8","6","88","65","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","French Lavender 'Anouk Deluxe Purple'","Lavandula stoechas 'Anouk Deluxe Purple'","275","Fat dark-purple flower heads · bright ruffled bracts · aromatic grey-green foliage","Low once established","South / West","Poor, free-draining; No winter wet · shelter from frost","Deadhead; trim after flowering","","May-Oct","","","","","","","","","","","Anouk Deluxe Series","H4","drought tolerant · coastal · deer resistant","containers · edging · pollinators","40–60 cm H × 40–60 cm W","","","8","6","4","6","95","80","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
"0","Meyer's Lemon","Citrus × meyeri 'Meyer'","45","Fragrant white flowers · glossy leaves · rounded sweet orange-yellow lemons","Water freely; reduce in winter","South / West","Loam-based, free-draining; Overwinter above 5°C · sap may irritate","Shorten vigorous shoots in summer","","May-Jul","","","","","","","","","","","syn. Citrus × limon 'Improved Meyer'","H2","self-fertile · compact · fruits young","containers · conservatory · edible fruit","2.5–4 m H × 1.5–2.5 m W","","","8","10","11","14","92","75","","","Tender: withstands 1-5C and no frost at all. Outdoors in summer only, or under glass.","","","","",""
"0","Green Spire Japanese Spindle","Euonymus japonicus 'Green Spire'","120","Dense glossy dark-green foliage · upright habit · clipped ball form","Moderate; water in dry spells","South / West","Any well-drained soil; Harmful if eaten · wear gloves","Clip as needed in spring or summer","","Jan-Dec","","","","","","","","","","","retail suffix 'bol' = clipped ball form","H6","coastal · urban tolerant","topiary · edging · containers","0.5–1 m H × 0.1–0.5 m W","","","7","9","9","6","70","40","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Jenny Japanese Holly","Ilex crenata 'Jenny'","120","Fine glossy dark-green leaves · dense box-like growth · clips into crisp shapes","Keep evenly moist in summer","East / South / West","Humus-rich, well-drained; No drought or winter wet · fruit not edible","Clip in early spring or late summer","","Jan-Dec","","","","","","","","","","","PBR cultivar; sold as bush, ball or pyramid","H6","urban tolerant · clipping tolerant","topiary · low hedging · containers","1–1.5 m H × 1–1.5 m W","","","6","10","11","8","65","40","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Gold Rider Leyland Cypress","× Cuprocyparis leylandii 'Gold Rider'","55","Bright golden evergreen sprays · narrow conical habit · strong winter colour","Moderate until established","Any aspect","Any well-drained soil; Never cut into old wood · sap may irritate","Trim green growth 2–3 times yearly","","Jan-Dec","","","","","","","","","","","syn. × Cupressocyparis leylandii 'Gold Rider'","H6","coastal · wind tolerant","screening · hedging · golden specimen","12–25 m H × 4–8 m W","","","15","9","7","10","90","60","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","evergreen","","","",""
"0","Horizon Monarch Rhododendron","Rhododendron 'Horizon Monarch'","48","Dark pink buds open huge warm-yellow trusses softly flushed pink","Keep evenly moist","Any aspect","Humus-rich, acid soil; Harmful if eaten · shelter from late frost","Deadhead; lightly trim after flowering","","Apr-Jun","","","","","","","","","","","Hillier label 'Planter' denotes a 20L specimen","H4","disease resistant · shade tolerant","woodland borders · screening · specimen","1.5–2.5 m H × 1.5–2.5 m W","","","9","11","14","10","45","25","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
"0","Ōsakazuki Japanese Maple","Acer palmatum 'Ōsakazuki'","18","Large green leaves ignite brilliant orange-scarlet in autumn","Moderate; never let pots dry","East / South / West","Moist, well-drained; Shelter from wind · avoid scorching sun","Remove damaged wood while dormant","","Oct-Nov","","","","","","","","","","","syn. 'Taihai'; older listings spell 'Osakazuki'","H6","cold hardy · container tolerant","specimen · autumn colour · containers","2.5–4 m H × 2.5–4 m W","","","5","8","10","7","55","35","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Japanese Banana","Musa basjoo","120","Huge bright-green paddle leaves · towering tropical clumps · fast suckering growth","Water and feed freely in growth","South","Humus-rich, well-drained; Wrap crown for winter · fruit inedible","Remove frost-damaged growth in spring","","Jun-Oct","","","","","","","","","","","syn. Musa japonica","H2","fast recovery · root-hardy when mulched","exotic borders · screens · large containers","2.5–4 m H × 1.5–2.5 m W","","","18","8","16","15","90","70","","","Tender: withstands 1-5C and no frost at all. Outdoors in summer only, or under glass.","","","","",""
"0","Wedding Cake Tree","Cornus controversa 'Variegata'","85","Cream-edged leaves on elegant tiered branches · white flowers · black berries","Moderate; water in dry spells","Any aspect","Moist, well-drained; Give wide space · avoid hard pruning","Remove only crossing or upright shoots","","May-Oct","","","","","","","","","","","","H5","cold hardy · generally pest free","architectural specimen · woodland edge","4–8 m H × 4–8 m W","","","6","5","10","6","60","35","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Common Olive","Olea europaea","75","Rugged trunk · narrow silver-grey evergreen leaves · small cream summer flowers","Low once established","South","Deep, sharply drained; Shelter from frost · Xylella high-risk host","Shape or restrict size in spring","","Jan-Dec","","","","","","","","","","","many fruiting cultivars exist","H4","drought · coastal · urban tolerant","containers · Mediterranean gardens · fruit","4–8 m H × 1.5–2.5 m W","","","5","9","4","9","95","80","","Xylella fastidiosa high-risk host. Imported olives are subject to plant-health inspection; report suspected symptoms rather than moving affected material.","Hardy through an average UK winter, withstanding -10 to -5C.","evergreen","","","",""
"0","Bloodgood Japanese Maple","Acer palmatum 'Bloodgood'","350","Deep red-purple leaves from spring · vivid crimson autumn colour · red samaras","Moderate; never let pots dry","East / South / West","Moist, well-drained; Shelter from wind · avoid leaf scorch","Remove damaged wood while dormant","","Apr-Nov","","","","","","","","","","","","H6","cold hardy · container tolerant","specimen · dark foliage · containers","2.5–4 m H × 2.5–4 m W","","","5","8","10","7","60","40","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Hot Lips Sage","Salvia 'Hot Lips'","0","Red-and-white lipped flowers shift with weather · aromatic green foliage","Low once established","South / West","Light, well-drained; No winter wet · shelter from frost","Cut back in spring; deadhead","","Jun-Nov","","","","","","","","","","","syn. Salvia × jamensis 'Hot Lips'; Salvia microphylla 'Hot Lips'","H5","drought tolerant · coastal","pollinators · gravel gardens · containers","0.5–1 m H × 0.5–1 m W","","","12","8","6","8","90","65","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Honey Tulip Magnolia","Magnolia HONEY TULIP ('Jurmag5')","48","Goblet-shaped honey-yellow flowers softly flushed pink at the base","Moderate; water in dry spells","South / West","Moist, acid to neutral; Shelter from cold winds and late frost","Prune minimally from midsummer to early autumn","","Mar-Apr","","","","","","","","","","","trade name HONEY TULIP; cultivar code 'Jurmag5'","H5","cold hardy once established","specimen · spring colour · small gardens","2.5–4 m H × 2.5–4 m W","","","6","8","10","7","75","45","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Big Blue Sea Holly","Eryngium × olivierianum BIG BLUE ('Myersblue')","220","Electric-blue stems and flowerheads · long prickly silver-blue bracts","Low once established","East / South / West","Poor, sharply drained; Full sun essential · no winter wet","Leave seedheads over winter; cut back in spring","","Jun-Sep","","","","","","","","","","","syn. Eryngium × zabelii 'Big Blue'; cultivar code 'Myersblue'","H5","drought tolerant · coastal","pollinators · cut flowers · gravel gardens","60–75 cm H × 30–50 cm W","","","8","8","3","4","98","85","","Plant Breeders' Rights apply: do not propagate 'Myersblue' for resale without a licence.","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Winter Beauty Honeysuckle","Lonicera × purpusii 'Winter Beauty'","50","Bare winter branches carry intensely scented cream-white tubular flowers","Moderate; water in dry spells","Any aspect","Any well-drained soil; Avoid waterlogged ground","Thin and lightly shape after flowering","","Dec-Mar","","","","","","","","","","","","H6","cold hardy · coastal · fruit harmful if eaten","winter scent · pollinators · shrub borders","1.5–2.5 m H × 1.5–2.5 m W","","","9","8","8","4","65","35","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Winged Spindle","Euonymus alatus","0","Corky winged stems · green leaves blaze crimson in autumn · red-purple fruit","Moderate; water in dry spells","Any aspect","Moist, well-drained; Harmful if eaten · wear gloves","Lightly prune after flowering","","Sep-Nov","","","","","","","","","","","syn. Celastrus alatus","H6","cold hardy · exposed-site tolerant","specimen · hedge · autumn colour","1.5–2.5 m H × 1.5–2.5 m W","","","8","9","8","5","80","45","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Bigleaf golden ray 'Treasure Island'","Ligularia 'Treasure Island'","50","Matte green leaves · rhubarb-red stems · clustered golden-yellow flowers","Keep consistently moist","Any aspect","Rich, moisture-retentive; Never allow to dry · shelter from wind","Remove spent stems; cut back in autumn","","Jul-Sep","","","","","","","","","","","Introduced as Ligularia × 'Treasure Island'","H6","cold hardy · wet-soil tolerant","waterside · woodland borders · pollinators","1.2–1.5 m H × 60–90 cm W","","","14","13","16","10","42","25","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Dream Dazzler Stonecrop","Hylotelephium 'Dream Dazzler'","330","Purple-grey leaves edged hot pink · deep-pink flowers · compact non-flopping mat","Low once established","South / West","Sandy, well-drained; Full sun for colour · avoid winter wet","Cut back after flowering or leave seedheads","","Apr-Oct","","","","","","","","","","","SunSparkler Series; syn. Sedum 'Dream Dazzler'","H7","drought · heat · mildew resistant","groundcover · rockeries · containers","20–25 cm H × 40–50 cm W","","","9","7","3","4","95","50","","","Very hardy: withstands below -20C, so hardy anywhere in the UK.","","","","",""
"0","Rosemary Foster Rough-Leaved Hydrangea","Hydrangea aspera 'Rosemary Foster'","275","Purple-blue lacecaps · white ray florets · chocolate-bronze young foliage","Keep evenly moist; water more in sun","North / East / West","Well-drained loam; Sheltered · improve chalky soil","Deadhead and remove weak stems in spring","","Jun-Sep","","","","","","","","","","","","H5","compact · cold hardy · good autumn colour","woodland borders · containers · pollinators","1–1.5 m H × 0.5–1 m W","","","9","11","13","8","48","30","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Maidenhair Tree","Ginkgo biloba","55","Fan-shaped green leaves turn clear golden yellow · sculptural ancient tree","Moderate until established","Any aspect","Any well-drained soil; Allow space · avoid waterlogged sites","No routine pruning; remove dead wood","","Oct-Nov","","","","","","","","","","","syn. Salisburia adiantifolia","H6","pollution · wind · drought tolerant","specimen · urban tree · autumn colour","15–25 m H × 4–8 m W","","","5","2","6","4","92","75","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Cabbage palm Charlie Boy","Cordyline australis CHARLIE BOY ('Ric01')","335","Burgundy-bronze blades · vivid pink margins · upright palm-like crown","Low once established","East / South / West","Fertile, well-drained; Shelter from frost · avoid winter wet","Pull away dead leaves; cut frost damage in spring","","Jan-Dec","","","","","","","","","","","Breeder code 'Ric01' · trade designation CHARLIE BOY","H3","drought tolerant · wind tolerant","architectural · gravel gardens · patio containers","2.5–4 m H × 1–1.5 m W","","","9","6","5","8","65","45","","","Half-hardy: withstands -5 to 1C. Outdoors in mild or coastal UK gardens; needs shelter or winter protection elsewhere.","","","","",""
"0","Gaura 'Gaudi Rose'","Oenothera lindheimeri GAUDI ROSE ('Florgaucomro')","335","Rose-pink starry flowers · red buds and stems · dark green leaves flushed burgundy","Moderate; drought tolerant once established","East / South / West","Fertile, well-drained; Avoid excess winter wet","Remove spent stems; cut back in early spring","","Jun-Oct","","","","","","","","","","","Breeder code 'Florgaucomro' · trade designation GAUDI ROSE · formerly Gaura lindheimeri","H4","drought tolerant · generally pest free","border edging · containers · pollinators","30 cm H × 30–40 cm W","","","10","3","7","5","85","50","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
