slug,common,latin,status,hint_from_card_text,pest
crinodendron-hookerianum,Chile Lantern Tree,Crinodendron hookerianum,dealt,,
prunus-incisa-kojo-no-mai,Kojo-no-mai Fuji Cherry,Prunus incisa 'Kojo-no-mai',dealt,,
escallonia-laevis-pink-elle-lades,Pink Elle Escallonia,Escallonia laevis PINK ELLE ('Lades'),dealt,,
euonymus-fortunei-harlequin,Harlequin Spindle,Euonymus fortunei 'Harlequin',dealt,,
miscanthus-sinensis-morning-light,Morning Light Eulalia,Miscanthus sinensis 'Morning Light',dealt,,
festuca-glauca-intense-blue-casblue,Intense Blue Fescue,Festuca glauca INTENSE BLUE ('Casblue'),dealt,,
berberis-thunbergii-orange-ice,Orange Ice Japanese Barberry,Berberis thunbergii 'Orange Ice',dealt,,
pennisetum-advena-tiny-tails-tus022,Tiny Tails Fountain Grass,Pennisetum advena TINY TAILS ('TUS022'),dealt,,
cercidiphyllum-japonicum,Katsura Tree,Cercidiphyllum japonicum,dealt,,
lobelia-speciosa-starship-deep-rose-pas905518,Starship Deep Rose Lobelia,Lobelia × speciosa STARSHIP DEEP ROSE ('Pas905518'),dealt,,
lomandra-longifolia-white-sands-roma-13,White Sands Lomandra,Lomandra longifolia WHITE SANDS ('Roma 13'),dealt,,
eriobotrya-japonica,Japanese Loquat,Eriobotrya japonica,dealt,,
ceratostigma-willmottianum-sapphire-ring-lissbrill,Sapphire Ring Chinese Plumbago,Ceratostigma willmottianum SAPPHIRE RING ('Lissbrill'),dealt,,
taxus-baccata-fastigiata-robusta,Fastigiata Robusta Yew,Taxus baccata 'Fastigiata Robusta',dealt,,
liriope-muscari,Big Blue Lilyturf,Liriope muscari,dealt,,
dryopteris-erythrosora,Copper Shield Fern,Dryopteris erythrosora,dealt,,
cotinus-grace,Grace Smoke Bush,Cotinus 'Grace',dealt,,
passiflora-damsel-s-delight,Damsel's Delight Passion Flower,Passiflora ‘Damsel’s Delight’,dealt,,
euphorbia-martini-miner-s-merlot-km-mm024,Miner's Merlot Martin's Spurge,Euphorbia × martini MINER’S MERLOT ('Km-mm024'),dealt,,
euphorbia-characias-silver-edge,Silver Edge Mediterranean Spurge,Euphorbia characias 'Silver Edge',dealt,,
euphorbia-martini-ascot-rainbow,Ascot Rainbow Martin's Spurge,Euphorbia × martini 'Ascot Rainbow',dealt,,
sorbaria-sorbifolia-sem,Sem False Spirea,Sorbaria sorbifolia 'Sem',dealt,,
prunus-cerasifera-nigra,Black Cherry Plum,Prunus cerasifera 'Nigra',dealt,,
viburnum-bodnantense,Bodnant Viburnum,Viburnum × bodnantense,dealt,,
hibiscus-syriacus-oiseau-bleu,Oiseau Bleu Rose of Sharon,Hibiscus syriacus 'Oiseau Bleu',dealt,,
viburnum-bodnantense-charles-lamont,Charles Lamont Bodnant Viburnum,Viburnum × bodnantense 'Charles Lamont',dealt,,
hamamelis-intermedia-arnold-promise,Arnold Promise Witch Hazel,Hamamelis × intermedia 'Arnold Promise',dealt,,
cotinus-coggygria-royal-purple,Royal Purple Smoke Bush,Cotinus coggygria 'Royal Purple',dealt,,
liquidambar-styraciflua-slender-silhouette,Slender Silhouette Sweet Gum,Liquidambar styraciflua 'Slender Silhouette',dealt,,
davidia-involucrata,Handkerchief Tree,Davidia involucrata,dealt,,
prunus-choshu-hizakura,Choshu-hizakura Flowering Cherry,Prunus 'Chōshū-hizakura',dealt,,
sorbus-autumn-spire-flanrock,Autumn Spire Rowan,Sorbus AUTUMN SPIRE ('Flanrock'),dealt,,
salix-sepulcralis-var-chrysocoma,Golden Weeping Willow,Salix × sepulcralis var. chrysocoma,dealt,,
hydrangea-macrophylla-rendez-vous-french-cancan-bleu,French Cancan Bleu Hydrangea,Hydrangea macrophylla RENDEZ-VOUS FRENCH CANCAN BLEU,dealt,,
echinacea-sunseekers-rosy-ifecssrosy,SunSeekers Rosy Coneflower,Echinacea SUNSEEKERS ROSY ('Ifecssrosy'),dealt,,
liatris-spicata-cobalus,Cobalus Gayfeather,Liatris spicata 'Cobalus',dealt,,
echinacea-delicious-strawberry,Delicious Strawberry Coneflower,Echinacea 'Delicious Strawberry',dealt,,
liriodendron-tulipifera-snow-bird,Snow Bird Tulip Tree,Liriodendron tulipifera 'Snow Bird',dealt,,
albizia-julibrissin,Persian Silk Tree,Albizia julibrissin,dealt,,
jasminum-officinale-devon-cream,Devon Cream Summer Jasmine,Jasminum officinale 'Devon Cream',dealt,,
coprosma-inferno,Inferno Looking-glass Plant,Coprosma 'Inferno',dealt,,
buddleja-davidii-white-profusion,White Profusion Butterfly Bush,Buddleja davidii 'White Profusion',dealt,,
ilex-crenata-kinme,Kinme Japanese Holly,Ilex crenata 'Kinme',dealt,,
cryptomeria-japonica-globosa-nana,Globosa Nana Japanese Cedar,Cryptomeria japonica 'Globosa Nana',dealt,,
edgeworthia-chrysantha,Paperbush,Edgeworthia chrysantha,dealt,,
photinia-fraseri-pink-marble-cassini,Pink Marble Christmas Berry,Photinia × fraseri PINK MARBLE ('Cassini'),dealt,,
cistus-pulverulentus-sunset,Sunset Rock Rose,Cistus × pulverulentus 'Sunset',dealt,,
nerium-oleander,Oleander,Nerium oleander,dealt,,
euonymus-fortunei-emerald-n-gold,Emerald 'n' Gold Spindle,Euonymus fortunei 'Emerald 'n' Gold',dealt,,
euonymus-fortunei-emerald-gaiety,Emerald Gaiety Spindle,Euonymus fortunei 'Emerald Gaiety',dealt,,
reynoutria-japonica,Japanese Knotweed,Reynoutria japonica,dealt,,
hamamelis-intermedia-jelena,Jelena Witch Hazel,Hamamelis × intermedia 'Jelena',dealt,,
hydrangea-serrata,Mountain Hydrangea,Hydrangea serrata,dealt,,
cornus-kousa,Pink Kousa Dogwood,Cornus kousa,dealt,,
nymphaea-marliacea-carnea,Waterlily 'Marliacea Carnea',Nymphaea 'Marliacea Carnea',dealt,,
chamaerops-humilis,Dwarf Fan Palm,Chamaerops humilis,dealt,,
corylus-avellana-contorta,Corkscrew Hazel,Corylus avellana 'Contorta',dealt,,
eucalyptus-gunnii-azura-cagire,Cider Gum 'Azura',Eucalyptus gunnii Azura ('Cagire'),dealt,,
prunus-kanzan,Japanese Cherry 'Kanzan',Prunus 'Kanzan',dealt,canker,
alchemilla-mollis,Lady's Mantle,Alchemilla mollis,dealt,,
heuchera-villosa-timeless-night,Heuchera 'Timeless Night',Heuchera villosa 'Timeless Night',dealt,vine weevil,
amelanchier-lamarckii,Snowy Mespilus,Amelanchier lamarckii,dealt,,
malus-john-downie,Crab Apple 'John Downie',Malus 'John Downie',dealt,canker / scab,
quercus-robur,English Oak,Quercus robur,dealt,mildew,
agapanthus-poppin-purple-pm003,Poppin' Purple Agapanthus,Agapanthus POPPIN’ PURPLE ('PM003'),dealt,slug / crown rot / gall midge,slugs
phyllostachys-nigra,Black Bamboo,Phyllostachys nigra,dealt,,
prunus-laurocerasus-rotundifolia,Cherry Laurel 'Rotundifolia',Prunus laurocerasus 'Rotundifolia',dealt,,
laurus-nobilis,Bay Laurel,Laurus nobilis,dealt,,
cornus-sanguinea-midwinter-fire,Cornus 'Midwinter Fire',Cornus sanguinea 'Midwinter Fire',dealt,,
aucuba-japonica-crotonifolia,Spotted Laurel 'Crotonifolia',Aucuba japonica 'Crotonifolia',dealt,,
berberis-darwinii,Darwin's Barberry,Berberis darwinii,dealt,,
hydrangea-petiolaris,Climbing Hydrangea,Hydrangea petiolaris,dealt,,
fagus-sylvatica,Common Beech,Fagus sylvatica,dealt,,
cotoneaster-horizontalis,Wall Cotoneaster,Cotoneaster horizontalis,dealt,,
ceanothus-concha,Californian Lilac 'Concha',Ceanothus 'Concha',dealt,,
enkianthus-campanulatus,Redvein Enkianthus,Enkianthus campanulatus,dealt,,
arbutus-unedo,Strawberry Tree,Arbutus unedo,dealt,,
dicksonia-antarctica,Soft Tree Fern,Dicksonia antarctica,dealt,,
ligustrum-ovalifolium-aureum,Golden Privet,Ligustrum ovalifolium 'Aureum',dealt,,
aronia-melanocarpa,Black Chokeberry,Aronia melanocarpa,dealt,,
lotus-hirsutus-little-boy-blue-lisbob,Hairy Canary Clover,Lotus hirsutus LITTLE BOY BLUE ('Lisbob'),dealt,,
begonia-bonfire-nzcone,Bonfire Begonia,Begonia BONFIRE ('Nzcone'),dealt,,
parthenocissus-quinquefolia,Virginia Creeper,Parthenocissus quinquefolia,dealt,,
chaenomeles-speciosa-kinshiden,Flowering Quince 'Kinshiden',Chaenomeles speciosa 'Kinshiden',dealt,,
skimmia-japonica-obsession-obsbolwi,Obsession Japanese Skimmia,Skimmia japonica OBSESSION ('Obsbolwi'),dealt,,
sambucus-nigra-f-porphyrophylla-gerda,Black Beauty Elder,Sambucus nigra f. porphyrophylla 'Gerda',dealt,,
argyrocytisus-battandieri,Pineapple Broom,Argyrocytisus battandieri,dealt,,
pyracantha-coccinea-orange-star,Orange Star Firethorn,Pyracantha coccinea 'Orange Star',dealt,blight / fireblight,
wisteria-sinensis,Chinese Wisteria,Wisteria sinensis,dealt,,
trachelospermum-jasminoides,Star Jasmine,Trachelospermum jasminoides,dealt,,
anemone-hybrida-pretty-lady-maria-aneplaria,Japanese Anemone 'Pretty Lady Maria',Anemone × hybrida Pretty Lady Maria ('Aneplaria'),dealt,,slugs
stachyurus-praecox,Early Stachyurus,Stachyurus praecox,held,,
clematis-nelly-moser,Clematis 'Nelly Moser',Clematis 'Nelly Moser',held,,
clematis-viticella-purpurea-plena-elegans,Clematis 'Purpurea Plena Elegans',Clematis viticella 'Purpurea Plena Elegans',held,,
clematis-montana-var-rubens,Clematis montana var. rubens,Clematis montana var. rubens,held,,
clematis-armandii,Evergreen Clematis,Clematis armandii,held,,
fallopia-baldschuanica,Russian Vine,Fallopia baldschuanica,held,,
primula-vialii,Vial's primrose,Primula vialii,held,,
tetrapanax-papyrifer-rex,Rice-paper Plant 'Rex',Tetrapanax papyrifer 'Rex',held,,
rhus-typhina,Stag's Horn Sumach,Rhus typhina,held,,
rodgersia-bronze-peacock,Rodgersia 'Bronze Peacock',Rodgersia 'Bronze Peacock',held,,
rhododendron-homebush,Deciduous Azalea 'Homebush',Rhododendron 'Homebush',held,,
rhododendron-luteum,Yellow Azalea,Rhododendron luteum,held,,
trachycarpus-fortunei,Chusan Palm,Trachycarpus fortunei,held,,
melianthus-major,Honey Bush,Melianthus major,held,,
astelia-chathamica,Silver Spear,Astelia chathamica,held,,
fargesia-rufa,Dragon Head Bamboo,Fargesia rufa,held,,
tamarix-ramosissima-pink-cascade,Tamarisk 'Pink Cascade',Tamarix ramosissima 'Pink Cascade',held,,
pieris-forest-flame,Pieris 'Forest Flame',Pieris 'Forest Flame',held,,
skimmia-japonica-rubella,Skimmia 'Rubella',Skimmia japonica 'Rubella',held,,
physocarpus-opulifolius-diabolo,Ninebark 'Diabolo',Physocarpus opulifolius 'Diabolo',held,,
sambucus-nigra-f-porphyrophylla-eva,Black Elder 'Black Lace',Sambucus nigra f. porphyrophylla 'Eva',held,,
syringa-meyeri-palibin,Dwarf Lilac 'Palibin',Syringa meyeri 'Palibin',held,,
daphne-bholua-jacqueline-postill,Daphne 'Jacqueline Postill',Daphne bholua 'Jacqueline Postill',held,,
sarcococca-confusa,Christmas Box,Sarcococca confusa,held,,
chaenomeles-superba-crimson-and-gold,Flowering Quince 'Crimson and Gold',Chaenomeles × superba 'Crimson and Gold',held,,
kolkwitzia-amabilis-pink-cloud,Beauty Bush 'Pink Cloud',Kolkwitzia amabilis 'Pink Cloud',held,,
deutzia-gracilis-nikko,Deutzia 'Nikko',Deutzia gracilis 'Nikko',held,,
ribes-sanguineum-king-edward-vii,Flowering Currant 'King Edward VII',Ribes sanguineum 'King Edward VII',held,,
kalmia-latifolia-ostbo-red,Calico Bush 'Ostbo Red',Kalmia latifolia 'Ostbo Red',held,,
fothergilla-major,Witch Alder,Fothergilla major,held,,
betula-utilis-subsp-jacquemontii-doorenbos,Himalayan Birch 'Doorenbos',Betula utilis subsp. jacquemontii 'Doorenbos',held,,
parrotia-persica,Persian Ironwood,Parrotia persica,held,,
nyssa-sylvatica-wisley-bonfire,Tupelo 'Wisley Bonfire',Nyssa sylvatica 'Wisley Bonfire',held,,
acer-griseum,Paperbark Maple,Acer griseum,held,,
malus-evereste,Crab Apple 'Evereste',Malus 'Evereste',held,aphid / canker / scab,
koelreuteria-paniculata,Golden Rain Tree,Koelreuteria paniculata,held,,
gleditsia-triacanthos-f-inermis-sunburst,Honey Locust 'Sunburst',Gleditsia triacanthos f. inermis 'Sunburst',held,gall midge,
wisteria-floribunda-f-multijuga,Japanese Wisteria,Wisteria floribunda f. multijuga,held,,
hedera-colchica-sulphur-heart,Persian Ivy 'Sulphur Heart',Hedera colchica 'Sulphur Heart',held,,
akebia-quinata,Chocolate Vine,Akebia quinata,held,,
lonicera-periclymenum-serotina,Late Dutch Honeysuckle,Lonicera periclymenum 'Serotina',held,aphid / mildew,
geranium-rozanne-gerwat,Cranesbill 'Rozanne',Geranium Rozanne ('Gerwat'),held,,
erysimum-bowles-s-mauve,Perennial Wallflower 'Bowles's Mauve',Erysimum 'Bowles’s Mauve',held,,
nepeta-racemosa-walker-s-low,Catmint 'Walker's Low',Nepeta racemosa 'Walker’s Low',held,,
helleborus-rodney-davey-marbled-group-anna-s-red-abcrd02,Hellebore 'Anna's Red',Helleborus (Rodney Davey Marbled Group) Anna’s Red ('Abcrd02'),held,,
hakonechloa-macra-aureola,Japanese Forest Grass 'Aureola',Hakonechloa macra 'Aureola',held,,
prunus-serrula,Tibetan Cherry,Prunus serrula,held,,
crataegus-laevigata-paul-s-scarlet,Hawthorn 'Paul's Scarlet',Crataegus laevigata 'Paul’s Scarlet',held,,
laburnum-watereri-vossii,Golden Rain 'Vossii',Laburnum × watereri 'Vossii',held,,
acer-palmatum-sango-kaku,Coral Bark Maple,Acer palmatum 'Sango-kaku',held,,
buxus-sempervirens,Common Box,Buxus sempervirens,held,caterpillar / box tree / blight,
ligustrum-ovalifolium,Garden Privet,Ligustrum ovalifolium,held,,
lonicera-ligustrina-var-yunnanensis-baggesen-s-gold,Golden Box Honeysuckle,Lonicera ligustrina var. yunnanensis 'Baggesen’s Gold',held,blight,
forsythia-intermedia-lynwood-variety,Forsythia 'Lynwood Variety',Forsythia × intermedia 'Lynwood Variety',held,,
kerria-japonica-pleniflora,Double Kerria,Kerria japonica 'Pleniflora',held,,
magnolia-stellata,Star Magnolia,Magnolia stellata,held,,
viburnum-opulus-roseum,Snowball Tree,Viburnum opulus 'Roseum',held,viburnum beetle,
viburnum-davidii,David's Viburnum,Viburnum davidii,held,,
mahonia-media-charity,Mahonia 'Charity',Mahonia × media 'Charity',held,,
hypericum-hidcoteense-hidcote,Hypericum 'Hidcote',Hypericum × hidcoteense 'Hidcote',held,rust,
fuchsia-mrs-popple,Hardy Fuchsia 'Mrs Popple',Fuchsia 'Mrs Popple',held,,
weigela-bristol-ruby,Weigela 'Bristol Ruby',Weigela 'Bristol Ruby',held,,
spiraea-japonica-goldflame,Spiraea 'Goldflame',Spiraea japonica 'Goldflame',held,,
hebe-red-edge,Hebe 'Red Edge',Hebe 'Red Edge',held,,
pyracantha-saphyr-orange-cadange,Pyracantha SAPHYR ORANGE,Pyracantha SAPHYR ORANGE ('Cadange'),held,blight / scab / fireblight,
rosa-gertrude-jekyll-ausbord,English Rose GERTRUDE JEKYLL,Rosa GERTRUDE JEKYLL ('Ausbord'),held,blackspot,
rosa-iceberg-korbin,Floribunda Rose ICEBERG,Rosa ICEBERG ('Korbin'),held,blackspot,
rosa-new-dawn,Climbing Rose 'New Dawn',Rosa 'New Dawn',held,,
rosa-rugosa,Japanese Rose,Rosa rugosa,held,,
lavandula-angustifolia-hidcote,English Lavender 'Hidcote',Lavandula angustifolia 'Hidcote',held,,
salvia-rosmarinus-miss-jessopp-s-upright,Rosemary 'Miss Jessopp's Upright',Salvia rosmarinus 'Miss Jessopp’s Upright',held,,
parthenocissus-tricuspidata,Boston Ivy,Parthenocissus tricuspidata,held,,
jasminum-nudiflorum,Winter Jasmine,Jasminum nudiflorum,held,,
clematis-jackmanii,Clematis 'Jackmanii',Clematis 'Jackmanii',held,,
hosta-tardiana-halcyon,Hosta 'Halcyon',Hosta × tardiana 'Halcyon',held,slug,
heuchera-villosa-palace-purple,Heuchera 'Palace Purple',Heuchera villosa 'Palace Purple',held,vine weevil,
astrantia-roma,Astrantia 'Roma',Astrantia 'Roma',held,,
astilbe-fanal,Astilbe 'Fanal',Astilbe 'Fanal',held,,
lamprocapnos-spectabilis,Bleeding Heart,Lamprocapnos spectabilis,held,,
brunnera-macrophylla-jack-frost,Brunnera 'Jack Frost',Brunnera macrophylla 'Jack Frost',held,,
anemone-hybrida-honorine-jobert,Japanese Anemone 'Honorine Jobert',Anemone × hybrida 'Honorine Jobert',held,,
crocosmia-lucifer,Crocosmia 'Lucifer',Crocosmia 'Lucifer',held,,
verbena-bonariensis,Purple Top Verbena,Verbena bonariensis,held,,
rudbeckia-fulgida-var-sullivantii-goldsturm,Rudbeckia 'Goldsturm',Rudbeckia fulgida var. sullivantii 'Goldsturm',held,,
delphinium-black-knight-group,Delphinium 'Black Knight',Delphinium Black Knight Group,held,slug,
lupinus-the-governor-band-of-nobles-series,Lupin 'The Governor',Lupinus 'The Governor' (Band of Nobles Series),held,slug / aphid,
